evtID,trkID,segnum,PID,pdgID,X,Y,Z,TX,TY,E
100162,260,7,0,11,-15049.845,26997.371,188501.5,0.0014040773,-0.008478329,2.3794584
100162,260,7,1,11,-15046.3,26990.982,189928.5,0.0033898083,-0.005602688,2.3794584
100162,260,7,3,11,-15039.282,26978.537,192782.5,0.0050671687,-0.0042072036,2.3794584
100162,260,7,4,11,-15027.676,26973.502,194209.48,0.007485956,-0.007523895,2.3794584
100162,260,7,5,11,-15019.678,26963.986,195636.48,0.0067856074,-0.001460742,2.3794584
100162,260,7,6,11,-15009.383,26957.994,197063.48,0.0018241863,-0.007003874,2.3794584
100162,260,7,7,11,-15009.76,26949.945,198490.5,-0.008265947,-0.0071645114,2.3794584
100210,326,5,0,11,-4049.3936,12522.672,188501.5,-0.012750091,0.009039433,200.0
100210,326,5,1,11,-4055.4539,12528.866,189928.5,-0.004462478,0.0040558884,1.8718482
100210,326,5,2,11,-4053.7031,12542.304,191355.5,0.0033829375,0.014231633,1.8718482
100210,326,5,3,11,-4057.6487,12563.877,192782.5,-0.0029031578,0.016049681,1.8718482
100210,326,5,4,11,-4064.0383,12582.591,194209.48,-0.010631294,0.012007856,1.8718482
100826,1363,11,0,-11,-15016.04,25203.9,188501.5,0.004176773,0.0019471904,7.996618
100826,1363,11,1,-11,-15007.813,25207.383,189928.5,0.0063996315,0.0024378418,7.996618
100826,1363,11,2,-11,-14995.689,25213.113,191355.5,0.0101198675,0.0054679257,7.996618
100826,1363,11,3,-11,-14983.744,25219.338,192782.5,0.007368552,-0.0021484687,7.996618
100826,1363,11,4,-11,-14972.448,25212.867,194209.48,0.012140958,-0.006290208,7.996618
100826,1363,11,5,-11,-14952.173,25210.592,195636.48,0.012595805,0.00014129978,7.996618
100826,1363,11,6,-11,-14932.473,25211.182,197063.48,0.0128086675,0.0035657207,7.996618
100826,1363,11,7,-11,-14908.121,25217.543,198490.5,0.016488273,0.004989548,7.996618
100826,1363,11,8,-11,-14879.894,25226.285,199917.5,0.020437233,0.007058064,7.996618
100826,1363,11,9,-11,-14842.518,25235.477,201344.5,0.03028173,0.0049793236,7.996618
100826,1363,11,10,-11,-14804.486,25243.812,202771.5,0.022013685,0.011859883,7.996618
100922,1519,3,0,-11,-8954.347,16310.136,188501.5,0.00095338793,0.003759336,7.291583
100922,1519,3,1,-11,-8954.007,16308.182,189928.5,-0.00012847286,-0.0015565658,7.291583
100922,1519,3,2,-11,-8951.755,16306.933,191355.5,0.0033052254,-0.0040937555,7.291583
100089,377,4,1,11,-7367.8774,22765.889,189928.5,0.0022421088,-0.01006449,200.0
100089,377,4,2,11,-7361.2886,22759.857,191355.5,0.007152743,-0.00055312546,1.8212907
100089,377,4,3,11,-7354.5337,22750.912,192782.5,0.0063393023,-0.010985217,1.8212907
100089,377,4,4,11,-7338.4067,22750.77,194209.48,0.017343737,0.0054489425,1.8212907
100116,957,3,2,-11,-7189.075,27376.727,191355.5,-0.006476857,-0.045024965,0.5343005
100116,957,3,3,-11,-7214.376,27317.969,192782.5,-0.022468802,-0.040963512,0.5343005
