prim_track,nsegsum,shower_max,max_pid,shower_start
10001.0,60,11,16,2
10001.0,44,9,10,3
10001.0,75,14,22,3
10001.0,57,11,18,4
10001.0,51,9,12,2
10001.0,61,12,16,3
10001.0,63,13,8,1
10001.0,39,7,12,1
10001.0,47,8,9,3
10001.0,42,8,20,1
10001.0,62,13,15,3
10001.0,43,10,11,3
10001.0,77,14,13,2
10001.0,44,9,15,5
10001.0,49,10,18,3
10001.0,59,14,10,3
10001.0,65,11,16,2
10001.0,71,14,19,6
10001.0,61,11,12,7
10001.0,57,12,16,5
10001.0,76,15,13,3
10001.0,48,11,27,1
10001.0,58,11,15,2
10001.0,50,10,14,3
10001.0,62,13,15,1
10001.0,73,16,18,5
10001.0,66,13,10,6
10001.0,63,12,17,2
