prim_track,nsegsum,shower_max,max_pid,shower_start
271838.0,9,2,38,38
271839.0,4,1,1,10000
271840.0,8,2,22,22
271928.0,4,1,1,10000
271937.0,4,1,1,10000
271941.0,3,1,1,10000
271970.0,4,1,1,10000
272047.0,11,3,15,1
272048.0,6,2,1,1
272052.0,4,1,1,10000
272053.0,8,2,1,1
272054.0,16,3,39,9
272055.0,6,2,1,1
272056.0,4,1,1,10000
272057.0,4,1,1,10000
272058.0,8,2,1,1
272066.0,2,1,1,10000
272067.0,4,1,1,10000
272068.0,4,1,1,10000
272085.0,4,1,1,10000
272086.0,2,1,1,10000
272095.0,6,2,17,17
272096.0,4,1,1,10000
272097.0,6,2,43,43
272098.0,10,2,28,28
272101.0,4,1,2,10000
272102.0,4,1,1,10000
272178.0,4,1,1,10000
272179.0,4,1,1,10000
272180.0,4,1,1,10000
272181.0,3,1,1,10000
272182.0,4,1,1,10000
272185.0,4,1,1,10000
272189.0,4,1,1,10000
272190.0,4,1,1,10000
272191.0,4,1,1,10000
272193.0,3,1,1,10000
272194.0,4,1,1,10000
272215.0,10,3,1,1
272216.0,4,1,1,10000
272217.0,7,3,1,1
272218.0,7,2,4,4
272219.0,4,1,1,10000
272220.0,7,2,15,15
272267.0,3,1,1,10000
272275.0,4,1,2,10000
272276.0,4,1,1,10000
272305.0,4,1,1,10000
272306.0,5,2,1,1
272308.0,4,1,1,10000
272361.0,4,1,1,10000
272375.0,3,1,1,10000
272376.0,4,1,1,10000
272377.0,4,1,1,10000
272378.0,4,1,1,10000
272379.0,4,1,1,10000
272380.0,2,1,3,10000
272395.0,2,1,1,10000
272396.0,3,1,1,10000
272404.0,45,11,12,7
272405.0,8,2,10,10
272406.0,7,2,19,19
272408.0,5,2,1,1
272409.0,3,1,2,10000
272410.0,8,2,19,19
272429.0,2,1,2,10000
272430.0,4,1,1,10000
272431.0,4,1,1,10000
272485.0,4,1,1,10000
272486.0,4,1,1,10000
272492.0,4,1,1,10000
272502.0,4,1,1,10000
272503.0,4,1,1,10000
272505.0,4,1,1,10000
272522.0,7,2,2,2
272523.0,4,1,1,10000
272524.0,61,12,31,14
272525.0,4,1,1,10000
272526.0,4,1,1,10000
272527.0,4,1,1,10000
272528.0,2,1,1,10000
272529.0,4,1,1,10000
272530.0,10,2,5,5
272531.0,9,3,26,2
272532.0,12,3,27,20
272534.0,6,2,42,42
272535.0,2,1,1,10000
272583.0,3,1,1,10000
272586.0,4,1,1,10000
272595.0,8,2,3,3
272596.0,10,3,6,2
272597.0,9,2,4,4
272598.0,3,1,1,10000
272606.0,4,1,1,10000
272607.0,4,1,1,10000
272627.0,3,1,1,10000
272628.0,4,1,1,10000
272650.0,4,1,1,10000
272651.0,4,1,1,10000
272653.0,11,2,4,4
272668.0,8,2,39,39
272669.0,4,1,1,10000
272670.0,28,6,33,12
272671.0,4,1,1,10000
272672.0,4,1,1,10000
272717.0,2,1,1,10000
272722.0,2,1,1,10000
272724.0,3,1,1,10000
272728.0,4,1,1,10000
272729.0,13,3,27,25
272733.0,7,2,1,1
272734.0,4,1,1,10000
272735.0,8,2,36,36
272736.0,4,1,6,10000
272737.0,35,9,19,4
272739.0,8,2,3,3
272742.0,8,2,2,2
272743.0,4,1,1,10000
272744.0,4,1,1,10000
272745.0,3,1,1,10000
272746.0,4,1,1,10000
272774.0,4,1,1,10000
272775.0,7,2,2,2
272776.0,4,1,1,10000
272778.0,4,1,1,10000
272779.0,4,1,2,10000
272783.0,4,1,1,10000
272842.0,2,1,1,10000
272854.0,4,1,1,10000
272855.0,6,2,1,1
272856.0,12,3,3,1
272857.0,8,2,20,20
272858.0,7,2,1,1
272871.0,4,1,1,10000
272872.0,4,1,1,10000
272873.0,3,1,1,10000
272877.0,4,1,1,10000
272897.0,4,1,3,10000
272898.0,4,1,1,10000
272899.0,9,2,18,18
272900.0,4,1,1,10000
272904.0,8,2,21,21
272923.0,2,1,1,10000
272925.0,4,1,1,10000
272926.0,8,2,1,1
272927.0,8,2,1,1
272928.0,2,1,1,10000
272951.0,11,2,9,9
272952.0,11,3,31,31
272953.0,4,1,1,10000
272954.0,8,2,1,1
272955.0,4,1,2,10000
272956.0,4,1,3,10000
272958.0,2,1,1,10000
272990.0,4,1,1,10000
272997.0,8,2,1,1
272998.0,10,2,18,18
272999.0,8,2,1,1
273011.0,8,2,1,1
273012.0,7,2,15,15
273013.0,8,2,1,1
273015.0,4,1,1,10000
273017.0,3,1,1,10000
273027.0,4,1,1,10000
273028.0,4,1,1,10000
273048.0,4,1,1,10000
273049.0,4,1,1,10000
273050.0,4,1,1,10000
273051.0,4,1,1,10000
273116.0,4,1,1,10000
273117.0,2,1,1,10000
273118.0,4,1,1,10000
273119.0,4,1,1,10000
273131.0,3,1,1,10000
273133.0,4,1,1,10000
273134.0,8,2,5,5
273136.0,4,1,1,10000
273138.0,3,1,1,10000
273139.0,7,2,1,1
273140.0,8,2,9,9
273141.0,7,2,1,1
273167.0,4,1,3,10000
273168.0,4,1,1,10000
273169.0,4,1,1,10000
273170.0,4,1,1,10000
273229.0,4,1,1,10000
273237.0,4,1,1,10000
273239.0,4,1,1,10000
273251.0,4,1,1,10000
273252.0,8,2,1,1
273253.0,8,2,1,1
273255.0,4,1,1,10000
273256.0,4,1,1,10000
273280.0,4,1,1,10000
273284.0,4,1,1,10000
273285.0,8,2,1,1
273286.0,4,1,1,10000
273288.0,4,1,1,10000
273352.0,8,2,1,1
273353.0,4,1,1,10000
273358.0,4,1,1,10000
273359.0,4,1,1,10000
273360.0,4,1,1,10000
273376.0,8,2,1,1
273377.0,3,1,1,10000
273378.0,6,2,1,1
273442.0,4,1,1,10000
273452.0,4,1,1,10000
273453.0,4,1,1,10000
273459.0,4,1,1,10000
273460.0,3,1,1,10000
273491.0,4,1,1,10000
273548.0,6,2,1,1
273551.0,6,2,1,1
273554.0,3,1,1,10000
273564.0,4,1,1,10000
273565.0,4,1,1,10000
273566.0,2,1,2,10000
273589.0,2,1,1,10000
273591.0,4,1,1,10000
273592.0,4,1,1,10000
273593.0,4,1,1,10000
273594.0,4,1,1,10000
273612.0,5,2,1,1
273613.0,5,2,2,2
273614.0,4,1,1,10000
273658.0,4,1,1,10000
273659.0,4,1,1,10000
273661.0,4,1,1,10000
273666.0,8,2,1,1
273673.0,3,1,1,10000
273675.0,4,1,1,10000
273676.0,4,1,1,10000
273678.0,9,3,21,14
273679.0,4,1,1,10000
273680.0,3,1,1,10000
273681.0,4,1,1,10000
273682.0,4,1,1,10000
273697.0,4,1,1,10000
273698.0,4,1,1,10000
273699.0,4,1,1,10000
273700.0,8,2,1,1
273745.0,3,1,1,10000
273749.0,4,1,1,10000
273750.0,4,1,1,10000
273751.0,3,1,1,10000
